name,city,country,latitude,longitude,type
AldingaBeach Ground Station,,,-35.279,138.453,LEO Ground Station
M0KSF-BB,,,51.243,-0.589,LEO Ground Station
HAN-ESE,,,51.988,5.952,LEO Ground Station
rommac UHF/VHF,,,33.28851,-111.86892,LEO Ground Station
BEEGND-78N,,,78.217,15.633,LEO Ground Station
WVU ARC W8CUL,,,39.644564,-79.971913,LEO Ground Station
SpaceTeam GS01,,,48.189,16.396,LEO Ground Station
BX6AP station 3,,,24.916,121.674,LEO Ground Station
OE6ISP_NeSDR,,,47.02,15.263,LEO Ground Station
ii-lab S-Band,,,33.417431,-111.933139,LEO Ground Station
UB3ALB-1,,,55.575928,37.142732,LEO Ground Station
ai6yr-skyscanner,,,34.169,-118.942,LEO Ground Station
ai6yr-skyscanner-440,,,34.169,-118.942,LEO Ground Station
DJ7NT / JO30oo,,,50.609,7.225,LEO Ground Station
CatSat RadioRanch,,,32.265,-110.808,LEO Ground Station
RR01,,,30.50906,-97.72663,LEO Ground Station
NSF NCAR HAO IG: Teegan Station,,,40.03241,-105.24567,LEO Ground Station
PE2BZ docker airspy l-band rhcp  filt preamp,,,52.0,4.1999,LEO Ground Station
OHB HELLAS,,,38.03960606459199,23.79750602160133,LEO Ground Station
9A4VS VHF/UHF,,,45.0769,14.6744,LEO Ground Station
Woodbank.,,,52.464,-2.601,LEO Ground Station
GSUniTue,,,48.534,9.07,LEO Ground Station
VE9EX-2,,,45.88202,-66.76792,LEO Ground Station
haxorthematrix-1,,,41.889,-71.596,LEO Ground Station
tony,,,42.45529,-71.22807,LEO Ground Station
EA1DIW_TEST,,,40.967,-5.668,LEO Ground Station
PE2BZ s-band experimental now on docker,,,52.0,4.2,LEO Ground Station
Deutsche Schule Bratislava,,,48.16794,17.09766,LEO Ground Station
G7UOD-SAT,,,52.131882,-0.502428,LEO Ground Station
MOVIL-TEST,,,40.967,-5.668,LEO Ground Station
YO9HZN_2,,,44.909,25.575,LEO Ground Station
UniLu_CubeSatLab_Observatory_UHF_Tracking,,,49.626,6.159,LEO Ground Station
OH5GLW,,,61.221,27.702,LEO Ground Station
GS_AM01,,,40.223415,44.545377,LEO Ground Station
F4GMT-Satnogs,,,43.46,-1.36,LEO Ground Station
M7KBB,,,50.91646,-1.34567,LEO Ground Station
SP4EVA,,,53.7635,19.691,LEO Ground Station
KARS - 9K2RA,,,29.308892,48.018918,LEO Ground Station
Forrest Airport,,,-30.858,128.115,LEO Ground Station
rommac uhf QFH,,,32.2885,-111.868,LEO Ground Station
F4TNK-UHF,,,43.81477,4.06576,LEO Ground Station
plat0-3a,,,41.57,-87.812,LEO Ground Station
i9std,,,41.583,-8.422,LEO Ground Station
N6MTS Experimentation,,,35.122,-120.57,LEO Ground Station
SPUTNIX-VHF/UHF-Murmansk,,,68.955,33.062,LEO Ground Station
W0QQQ,,,39.18932968665389,-96.58303544419022,LEO Ground Station
Zdanice,,,49.06572818616845,17.038031717626836,LEO Ground Station
DP0GVN-VHF,,,-70.658667,-8.284667,LEO Ground Station
W9TTY-2,,,41.96,-87.68,LEO Ground Station
EA1FWI-UHF,,,42.6098,-5.582,LEO Ground Station
DL2GFS-UHF,,,48.531,8.867,LEO Ground Station
Binar Groundstation,,,-32.007,115.894,LEO Ground Station
UW-Seattle GS1,,,47.654,-122.306,LEO Ground Station
south Budapest DIY,,,47.43717,19.13605,LEO Ground Station
